term	count	synsets	alias_group
seated at	79	be.v.01|seat.v.01	seated at
wading in	79	be.v.01|in.r.01	
creating	79	be.v.01|make.v.03	creating
blowing	79	be.v.01|float.v.01	blowing
jumping in	79	be.v.01|jump.v.01	jumping in
held	79	be.v.01|have.v.01	held
going into	78	be.v.01|become.v.01	going into
with black	78	blacken.v.01	
looking at a	78	be.v.01|look.v.02	looking at
lying	78	be.v.01|lie.v.01	
crashing in	78	be.v.01|in.r.01	crashing in
skating on	78	along.r.01	skating on
appearing on	77	look.v.02	
tree	77	be.v.01	
strapped to	77	be.v.01|flog.v.01	strapped to
made	77	be.v.01|make.v.01	made
resting	77	be.v.01|stay.v.01	resting
docked in	76	in.r.01	docked in
running down	76	be.v.01|run.v.01	running down
had	76	have.v.01	had
about to hit	76	about.r.07|be.v.01	about to hit
sitting beside	75	be.v.01|sit.v.01	sitting beside
riding down	75	be.v.01|down.r.01	riding down
sitting around	75	be.v.01|sit.v.01	sitting around
created by	75	be.v.01|make.v.03	
flies	75	fly.v.01	flies
painting on	75	along.r.01|be.v.01	
are on front of	74	be.v.01	on front of
shaped like	74	be.v.01|wish.v.02	shaped like
leans on	74	tend.v.01	leans on
near to	73	about.r.07|be.v.01	near to
planted in	73	be.v.01|establish.v.02	planted in
standing against	73	be.v.01|stand.v.01	
an	73	be.v.01	
supported by	73	be.v.01|digest.v.03	supported by
missing	73	be.v.01|miss.v.06	missing
indicating	73	be.v.01|indicate.v.02	indicating
rowing	73	be.v.01|row.v.01	rowing
performing	73	be.v.01|perform.v.01	performing
watching a	73	be.v.01|watch.v.01	watching
pitching	73	be.v.01|flip.v.06	pitching
catches	73	watch.v.03	catches
checking	73	be.v.01|see.v.10	checking
observing	73	be.v.01|detect.v.01	observing
laying next to	73	be.v.01|put.v.01	laying next to
displayed in	72	be.v.01|expose.v.03	displayed in
on white	72	along.r.01|be.v.01	
separates	72	divide.v.01	
working in	72	be.v.01|work.v.01	working in
growing out of	71	be.v.01|turn.v.07	growing out of
growing around	71	approximately.r.01|be.v.01	growing around
built in	71	construct.v.01	built in
are along	71	be.v.01	along
posing for	71	be.v.01|put.v.01	posing for
making a	71	be.v.01|make.v.01	making
eat	71	eat.v.01	
cuts	71	reduce.v.01	
by side of	70	be.v.01|by.r.01	by side of
hang from	70	hang.v.01	hang from
top	70	be.v.01|exceed.v.02	top
cooking	70	be.v.01|cook.v.02	cooking
watching from	70	be.v.01|watch.v.01	watching from
cast	69	roll.v.12	cast
are hanging on	69	be.v.01	hanging on
chained to	69	be.v.01	chained to
all over	69	be.v.01|wholly.r.01	all over
typing on	69	along.r.01|be.v.01	typing on
seen on	69	be.v.01|see.v.01	seen on
looking through	69	be.v.01|look.v.02	looking through
on left	69	along.r.01|be.v.01|leave.v.01	
anchored in	69	be.v.01|in.r.01	
controlling	69	be.v.01|see.v.10	controlling
has long	69	have.v.01	
falling from	69	be.v.01|descend.v.01	
skateboarding in	69	be.v.01|in.r.01	skateboarding in
seen a	69	be.v.01|see.v.01	seen
pointing to	69	be.v.01|indicate.v.02	pointing to
are playing	69	be.v.01	playing
laying on top of	68	be.v.01|put.v.01	laying on top of
to side of	68	be.v.01	to side of
running across	68	be.v.01|run.v.01	running across
posing with	68	be.v.01|put.v.01	posing with
dark	68	be.v.01	dark
standing around	68	be.v.01|stand.v.01	standing around
falling off	68	away.r.01|be.v.01	falling off
riding an	68	be.v.01|depend_on.v.01	riding
driving in	67	be.v.01|drive.v.01	
trying to catch	67	be.v.01|try.v.01	trying to catch
that are	67	be.v.01	that
smelling	67	be.v.01|smell.v.01	
traveling down	66	be.v.01|travel.v.01	traveling down
traffic	66		traffic
are part of	66	be.v.01	part of
large	66	be.v.01|boastfully.r.01	
cleaning	66	be.v.01|clean.v.01	
b	65	be.v.01	b
cross	65	be.v.01|traverse.v.01	
are hanging from	65	be.v.01	hanging from
eating at	65	be.v.01|eat.v.01	eating at
up to	65	be.v.01|up.r.01	up to
hanging in front of	65	be.v.01|hang.v.01	hanging in front of
embedded in	65	be.v.01|in.r.01	embedded in
waiting in	65	be.v.01|wait.v.01	
has short	65	have.v.01	
are below	65	be.v.01	below
doing a	65	be.v.01|make.v.01	doing
jumping off	65	away.r.01|be.v.01	jumping off
smiling at	65	be.v.01|smile.v.01	smiling at
o top of	64	be.v.01|exceed.v.02	o top of
wearing a black	64	be.v.01|wear.v.01	
closest to	64	be.v.01	
holds up	64	have.v.01	holds up
cooking on	64	along.r.01|be.v.01	cooking on
water	64	be.v.01|water.v.01	water
wearing a white	63	be.v.01|wear.v.01|whiten.v.01	
up on	63	be.v.01|up.r.01	up on
on rear of	63	along.r.01|be.v.01	on rear of
lit up on	63	up.r.01	
playing a	63	be.v.01|play.v.01	playing
at back of	63	back.r.01|be.v.01	at back of
away from	63	away.r.01|be.v.01	away from
photographing	63	be.v.01|photograph.v.01	photographing
no	62	be.v.01|no.r.01	no
turning	62	be.v.01|become.v.02	turning
as	62	equally.r.01	as
dragging	62	be.v.01|haul.v.01	dragging
about	62	about.r.07|be.v.01	about
feeds	62	feed.v.01	feeds
attaching	62	attach.v.01|be.v.01	
are eating	62	be.v.01	eating
at an	61	be.v.01	at
hanging next to	61	be.v.01|hang.v.01	
has a white	61	have.v.01	
walking into	61	walk.v.01	walking into
shining in	61	be.v.01|glitter.v.01	
close	61	close.v.01	
are standing in	61	be.v.01	standing in
sits at	60	sit.v.01	sits at
advertising	60	advertise.v.01	advertising
reflection in	60	be.v.01|in.r.01	
taking a	60	be.v.01|necessitate.v.01	taking
down on	60	be.v.01|down.r.01	down on
sticking in	60	be.v.01|stay.v.02	
running along	60	be.v.01|run.v.01	running along
in bottom of	60	be.v.01|in.r.01	
is wearing	60	be.v.01	wearing
lead to	59	lead.v.01	
in middle	59	be.v.01|in.r.01	
picking up	59	be.v.01|up.r.01	picking up
seated in	59	be.v.01|in.r.01	seated in
lays on	59	put.v.01	
window on a	59		window on
showing through	59	be.v.01|show.v.01	
in top of	59	be.v.01|in.r.01	
reaching	59	achieve.v.01|be.v.01	reaching
hanging behind	58	be.v.01|hang.v.01	
with many	58		
walking past	58	be.v.01|walk.v.01	walking past
long	58	long.r.01	long
man	58	be.v.01|man.v.01	
hanging by	58	be.v.01|hang.v.01	hanging by
are covered in	58	be.v.01	covered in
guiding	58	be.v.01|lead.v.01	guiding
chewing	58	be.v.01|chew.v.01	chewing
looks	58	look.v.02	
kicking up	58	be.v.01|up.r.01	kicking up
adjusting	58	adjust.v.01|be.v.01	adjusting
in womans	58	be.v.01|in.r.01	in womans
protects	57	protect.v.01	
in white	57	be.v.01|in.r.01	
standing on side of	57	stand.v.01	standing on side of
waiting	57	be.v.01|wait.v.01	
are sitting in	56	be.v.01	sitting in
mounted	56	be.v.01|climb.v.01	mounted
are from	56	be.v.01	from
flowing in	56	be.v.01|run.v.06	flowing in
snowboarding on	56	along.r.01|be.v.01	snowboarding on
loading	56	be.v.01|load.v.01	
baseball	56		baseball
lined up on	56	be.v.01|up.r.01	lined up on
adjacent to	56	be.v.01	adjacent to
sprinkled on	56	along.r.01|be.v.01	
showing on	56	be.v.01|show.v.01	showing on
hanging down from	56	be.v.01|down.r.01	hanging down from
set on	55	be.v.01|put.v.01	set on
door	55	be.v.01	
driving alongside	55	be.v.01|drive.v.01	driving alongside
walking under	55	be.v.01|walk.v.01	walking under
has a black	55	have.v.01	
reflection on	55	along.r.01|be.v.01	reflection on
sign	55	be.v.01|sign.v.02	sign
ski	55		
rolling on	55	along.r.01|be.v.01	rolling on
attatched to	54	be.v.01	attatched to
sells	54	sell.v.01	
in brown	54	in.r.01	
connects	54	associate.v.01	
shaped	54	be.v.01|determine.v.02	
hitting a	54	be.v.01|reach.v.01	hitting
installed on	54	be.v.01|install.v.01	installed on
putting	54	be.v.01|put.v.01	putting
in hand of	54	be.v.01|pass.v.05	in hand of
cutting a	54	be.v.01|reduce.v.01	cutting
hidden by	54	be.v.01|hide.v.01	hidden by
running to	54	be.v.01|run.v.01	running to
has some	54	have.v.01	
under an	54	be.v.01|under.r.01	under
fixed to	53	be.v.01|fix.v.12	fixed to
stand on	53	stand.v.01	stand on
are walking on	53	be.v.01	walking on
hair	53	be.v.01	hair
are covering	53	be.v.01	covering
open	53	be.v.01|open.v.01	
on sides of	53	along.r.01|be.v.01	on sides of
kissing	53	snog.v.01	kissing
with h	53	be.v.01	
splashing in	53	be.v.01|in.r.01	splashing in
turned	52	be.v.01|become.v.02	turned
steering	52	be.v.01|steer.v.01	steering
along a	52	along.r.01	along
holding onto a	52	be.v.01|have.v.01	holding onto
coming	52	arrive.v.01|be.v.01	coming
play	52	play.v.01	
waiting to cross	51	be.v.01|wait.v.01	waiting to cross
growing in front of	51	turn.v.07	growing in front of
planted on	51	along.r.01|be.v.01	planted on
standing outside	51	be.v.01|outside.r.01|stand.v.01	standing outside
suspended from	51	be.v.01|suspend.v.01	suspended from
sits	51	sit.v.01	
walking in front of	51	be.v.01|in.r.01|walk.v.01	walking in front of
aside	51	aside.r.02	
growing through	51	be.v.01|turn.v.07	growing through
opposite	51	be.v.01	opposite
written	51	be.v.01|write.v.01	
swing	51	swing.v.01	swing
hooked to	51	be.v.01|overcharge.v.01	hooked to
eating nuts in	51	eat.v.01	
are painted on	50	be.v.01	painted on
walking in a	50	be.v.01|walk.v.01	walking in
plastic	50		plastic
hangs over	50	hang.v.01	hangs over
takes	50	necessitate.v.01	takes
are growing on	50	be.v.01	growing on
plays with	50	play.v.01	plays with
snowboarding down	50	down.r.01	snowboarding down
has red	50	have.v.01	
walking around	50	be.v.01|walk.v.01	walking around
walking away from	50	be.v.01|walk.v.01	walking away from
cut in	50	be.v.01|reduce.v.01	cut in
worn around	49	approximately.r.01|be.v.01	
with open	49	open.v.01	
sticking	49	be.v.01|stay.v.02	sticking
at foot of	49	be.v.01|foot.v.01	at foot of
shaped like a	49	be.v.01|wish.v.02	shaped like
on right	49	along.r.01|be.v.01	on right
covering a	49	be.v.01|traverse.v.01	covering
feeding on	49	along.r.01|be.v.01	feeding on
with red	49		
taller than	49	be.v.01	taller than
illuminating	49	be.v.01|light.v.01	illuminating
are worn by	49	be.v.01	worn by
tossing	49	be.v.01|discard.v.01	tossing
gray	49	be.v.01	gray
paper	49	be.v.01	
growing alongside	48	turn.v.07	
spelling	48	spell.v.02	
silver	48		
hanging near	48	about.r.07|be.v.01	hanging near
catch	48	watch.v.03	
shines on	48	along.r.01	shines on
are against	47	be.v.01	against
shining	47	be.v.01|glitter.v.01	shining
propped on	47	along.r.01|be.v.01	propped on
operating	47	be.v.01|function.v.01	operating
leading up to	47	be.v.01|lead.v.01	leading up to
in on	47	along.r.01|be.v.01	in on
on bottom	47	along.r.01|be.v.01	on bottom
bending over	47	be.v.01|bend.v.01	bending over
racing	47	be.v.01|rush.v.01	racing
with some	47	approximately.r.01	with some
indicates	47	indicate.v.02	indicates
smoking	47	be.v.01|smoke.v.01	smoking
peeking through	47	be.v.01|glance.v.01	
on its	47	along.r.01|be.v.01	on its
wading through	47	through.r.01	
looking for	47	be.v.01|look.v.02	looking for
tied on	46	along.r.01|be.v.01	tied on
are made of	46	be.v.01	made of
in black	46	be.v.01|in.r.01	
against a	46	be.v.01	against
wearing a red	46	be.v.01|wear.v.01	
stuck into	46	be.v.01|stay.v.02	stuck into
that says	46	state.v.01	
wood	46		
lined up in	46	up.r.01	
putting on	46	be.v.01|put.v.01	putting on
scratching	46	be.v.01|cancel.v.01	
hauling	46	be.v.01|haul.v.01	hauling
clutching	46	seize.v.01	clutching
shaking	46	be.v.01|shake.v.01	shaking
striped	46	deprive.v.01	
points	46	indicate.v.02	
talking on a	46	be.v.01|talk.v.01	talking on
belong to	46	belong_to.v.01	belong to
mounted above	45	be.v.01|climb.v.01	
like	45	be.v.01|wish.v.02	like
on back of a	45	back.r.01|be.v.01	on back of
building	45	be.v.01|construct.v.01	building
relaxing on	45	along.r.01|be.v.01	relaxing on
slicing	45	be.v.01|slit.v.01	slicing
looking up at	45	be.v.01|look.v.02	looking up at
being worn by	45	be.v.01	being worn by
on tip of	45	along.r.01|be.v.01	
taking picture of	45	be.v.01|necessitate.v.01	
leading into	44	be.v.01|lead.v.01	
pushing a	44	be.v.01|push.v.01	pushing
carrying an	44	be.v.01|transport.v.02	carrying
wearing a blue	44	be.v.01|wear.v.01	
looking out of	44	be.v.01|look.v.02	looking out of
brick	44		brick
hanging out	44	be.v.01|hang.v.01	hanging out
drives	44	drive.v.01	drives
on foot of	44	along.r.01|be.v.01	
chewing on	44	along.r.01|be.v.01	chewing on
running from	44	run.v.01	running from
playing with a	44	be.v.01|play.v.01	playing with
full	44	be.v.01|fully.r.01	full
crouching on	44	along.r.01|be.v.01	crouching on
dressed	44	be.v.01|dress.v.01	
docked on	44	along.r.01|be.v.01	
parking	44	park.v.01	
toward	44	be.v.01	toward
moving down	43	be.v.01|travel.v.01	moving down
up against	43	be.v.01|up.r.01	up against
car	43		car
growing on side of	43	be.v.01|turn.v.07	growing on side of
reflects on	43	along.r.01	
standing between	43	be.v.01|stand.v.01	
holding up a	43	be.v.01|have.v.01	holding up
waving	43	be.v.01|beckon.v.01	waving
ridden by	43	be.v.01|depend_on.v.01	ridden by
wearing red	43	be.v.01|wear.v.01	
shirt	43	be.v.01|shirt.v.01	
leaves	43	leave.v.01	leaves
coming out	43	arrive.v.01|be.v.01	coming out
off of	43	away.r.01|be.v.01	off of
perched on a	43	along.r.01|be.v.01	perched on
lying near	43	about.r.07|be.v.01	
near by	42	about.r.07|be.v.01|nearby.r.01	
divides	42	divide.v.01	
ear	42	be.v.01	
parked alongside of	42	be.v.01|park.v.01	parked alongside of
has blue	42	have.v.01	
sky	42	be.v.01|flip.v.06	sky
are riding	42	be.v.01	riding
has been	42	be.v.01	
stitched on	42	along.r.01	stitched on
extending from	42	be.v.01|run.v.03	
with two	42		
drinks	42	drink.v.01	
going across	42	be.v.01|become.v.01	going across
with her	42		
far from	41	be.v.01|far.r.01	far from
parked under	41	be.v.01|park.v.01	parked under
carved into	41	be.v.01|carve.v.01	carved into
toilet	41		
holding out	41	be.v.01|have.v.01	holding out
middle of	41	be.v.01	
on persons	41	along.r.01|be.v.01	on persons
has open	41	have.v.01	
falls on	41	along.r.01	
worn by a	41	be.v.01|wear.v.01	worn by
snowboarding in	41	be.v.01|in.r.01	
bolted to	41	abscond.v.01|be.v.01	
moving in	41	be.v.01|travel.v.01	moving in
attaches	41	attach.v.01	
running with	41	run.v.01	running with
lighting	41	be.v.01|light.v.01	lighting
possesses	41	own.v.01	possesses
sitting atop	40	atop.r.01|be.v.01|sit.v.01	sitting atop
bottom of	40	be.v.01|penetrate.v.02	bottom of
are floating in	40	be.v.01	floating in
pair of	40	match.v.03	
with green	40		
are underneath	40	be.v.01	underneath
was	40	be.v.01	
towing	40	be.v.01	towing
cut	40	reduce.v.01	
hanging down	40	be.v.01|down.r.01	hanging down
on a mans	40	along.r.01	on a mans
stepping on	40	along.r.01|be.v.01	stepping on
releasing	40	publish.v.02	releasing
jumping with	40	be.v.01|jump.v.01	jumping with
swimming	40	be.v.01|swim.v.01	swimming
marks	40	notice.v.02	marks
bear	40	hold.v.11	
standing by a	40	be.v.01|stand.v.01	standing by
crashing	40	be.v.01|crash.v.01	crashing
are of	40	be.v.01	of
milking	40	be.v.01|milk.v.01	milking
color of	40	be.v.01|color.v.01	color of
hovering over	40	be.v.01|over.r.01	hovering over
has color	40	have.v.01	
contains a	39	incorporate.v.02	contains
onto	39	be.v.01	onto
obscured by	39	be.v.01|by.r.01	
standing underneath	39	stand.v.01	
driving on a	39	along.r.01	driving on
depicting	39	be.v.01|describe.v.01	depicting
on middle of	39	along.r.01|be.v.01	on middle of
are crossing	39	be.v.01	crossing
blooming in	39	in.r.01	blooming in
meeting	39	be.v.01|meet.v.01	meeting
left on	39	leave.v.01	
on wood	39	along.r.01|be.v.01	
growing between	39	be.v.01|turn.v.07	
spread on	39	along.r.01|be.v.01	spread on
elephant	39	be.v.01	
squatting on	39	along.r.01|be.v.01	squatting on
are laying on	39	be.v.01	laying on
stretching	39	be.v.01|stretch.v.01	
doing tricks on	39	be.v.01|make.v.01	doing tricks on
teaching	39	be.v.01|teach.v.01	teaching
skating in	39	in.r.01	skating in
closed	39	close.v.01	
follows	39	be.v.08	follows
standing near a	38	about.r.07|be.v.01	standing near
laying under	38	be.v.01|put.v.01	laying under
parked outside	38	be.v.01|outside.r.01	parked outside
shading	38	be.v.01|shade.v.02	shading
standing in front	38	be.v.01|stand.v.01	
computer	38		
piece of	38	assemble.v.01	piece of
folded on	38	along.r.01|be.v.01	
formed on	38	along.r.01	
together with	38	be.v.01|together.r.01	
amongst	38	be.v.01	amongst
decorates	38	decorate.v.01	
ahead of	38	ahead.r.01|be.v.01	ahead of
look	38	look.v.02	
at head of	38	be.v.01|head.v.02	at head of
overlooks	38	neglect.v.01	
has green	38	have.v.01	
coming into	38	arrive.v.01|be.v.01	coming into
gathered in	38	gather.v.01	gathered in
are covered with	38	be.v.01	covered with
landing on	38	along.r.01|be.v.01	landing on
docked at	38	be.v.01|dock.v.01	docked at
pink	38	be.v.01	pink
form	38	form.v.01	form
features	38	have.v.02	features
casts a	37	roll.v.12	casts
are parked on	37	be.v.01	parked on
leaning on a	37	along.r.01|be.v.01|tend.v.01	leaning on
hand	37	pass.v.05	
on th	37	along.r.01|be.v.01	
sewn onto	37	be.v.01|sew.v.01	
window	37	be.v.01	
rolling	37	be.v.01|roll.v.12	rolling
tall	37		
fence	37	argue.v.02|be.v.01	
end of	37	end.v.01	end of
coming to	37	arrive.v.01|be.v.01	coming to
grey	37	be.v.01	
round	37	attack.v.02	round
rear	37	be.v.01|raise.v.09	
wearing brown	37	be.v.01|wear.v.01	
buying	37	be.v.01|buy.v.01	
arranged in	37	be.v.01|in.r.01	arranged in
draped on	37	along.r.01|be.v.01	draped on
part of a	37	be.v.01|depart.v.03	part of
shows a	37	show.v.01	shows
pushes	37	push.v.01	pushes
looking to	37	be.v.01|look.v.02	
walking at	37	be.v.01|walk.v.01	walking at
racing on	37	along.r.01|be.v.01	racing on
served in	37	be.v.01|serve.v.01	served in
hs	36		
has dark	36	have.v.01	
sit in	36	sit.v.01	sit in
near top of	36	about.r.07	
laying down in	36	be.v.01|put.v.01	laying down in
with lots of	36	a_lot.r.01	
hold up	36	have.v.01	
looking toward	36	be.v.01|look.v.02	looking toward
mounted on top of	36	along.r.01|be.v.01	
make	36	make.v.01	make
being pulled by	36	be.v.01	being pulled by
amid	36	be.v.01	
ready to	36	be.v.01|fix.v.12	
stop	36	discontinue.v.01	
touching a	36	be.v.01|refer.v.02	touching
buried in	36	be.v.01|forget.v.01	
moving through	36	be.v.01|travel.v.01	moving through
leaning against a	35	be.v.01|tend.v.01	leaning against
in a white	35	be.v.01|in.r.01	
hung from	35	be.v.01|hang.v.01	
held up by	35	be.v.01|have.v.01	held up by
along edge of	35	along.r.01|border.v.05	
walk on	35	walk.v.01	
resting against	35	be.v.01|stay.v.01	resting against
table	35	be.v.01|postpone.v.01	table
set in	35	be.v.01|put.v.01	set in
on inside of	35	along.r.01|be.v.01	on inside of
baby	35	pamper.v.01	baby
has four	35	have.v.01	
sitting against	35	be.v.01|sit.v.01	sitting against
pinned to	35	be.v.01|trap.v.04	
has number	35	have.v.01	
walks in	35	walk.v.01	
controls	35	see.v.10	
carries a	35	transport.v.02	carries
spreading	35	be.v.01|spread.v.01	spreading
flying with	35	be.v.01|fly.v.01	
wall	34		wall
wrapped around a	34	approximately.r.01|be.v.01	wrapped around
standing over	34	be.v.01|stand.v.01	standing over
pull	34	pull.v.01	pull
